Date,Open,High,Low,Close,SMAVG (200) on Close,SMAVG (50) on Close,SMAVG (100) on Close
28/10/2016 00:00,1268.4,1268.5,1268.3,1268.3,1268.44,1268.26,1270.3
27/10/2016 23:30,1269.46,1269.48,1268.27,1268.4,1268.43,1268.23,1270.37
27/10/2016 23:00,1269.22,1269.75,1269.04,1269.47,1268.41,1268.2,1270.44
27/10/2016 22:30,1270.02,1270.55,1269.22,1269.22,1268.39,1268.15,1270.49
27/10/2016 22:00,1270.33,1270.55,1269.8,1270.02,1268.37,1268.09,1270.54
27/10/2016 21:30,1270.04,1270.65,1269.74,1270.33,1268.35,1268.02,1270.57
27/10/2016 21:00,1269.49,1270.53,1269.45,1270.04,1268.33,1267.95,1270.59
27/10/2016 20:30,1268.81,1269.62,1268.52,1269.49,1268.32,1267.88,1270.62
27/10/2016 20:00,1268.96,1269.06,1267.54,1268.8,1268.31,1267.82,1270.66
27/10/2016 19:30,1268.18,1269.41,1267.88,1268.96,1268.29,1267.81,1270.69
27/10/2016 19:00,1269.28,1269.45,1267.56,1268.18,1268.28,1267.79,1270.71
27/10/2016 18:30,1268.78,1270.16,1268.78,1269.28,1268.27,1267.8,1270.73
27/10/2016 18:00,1267.35,1269.29,1266.87,1268.78,1268.25,1267.79,1270.72
27/10/2016 17:30,1268.25,1270.34,1266.88,1267.35,1268.23,1267.79,1270.71
27/10/2016 17:00,1267.42,1268.47,1266.19,1268.25,1268.22,1267.89,1270.72
27/10/2016 16:30,1269.88,1269.96,1266.71,1267.41,1268.2,1267.98,1270.74
27/10/2016 16:00,1272.22,1272.24,1269.77,1269.89,1268.18,1268.06,1270.76
27/10/2016 15:30,1270.13,1272.83,1270.07,1272.22,1268.16,1268.1,1270.75
27/10/2016 15:00,1269.32,1271.44,1267.87,1270.13,1268.11,1268.1,1270.72
27/10/2016 14:30,1269.4,1269.51,1268.99,1269.31,1268.08,1268.11,1270.7
27/10/2016 14:00,1270.13,1270.13,1268.99,1269.41,1268.05,1268.16,1270.7
